timestamp,actuator_cmd[0],actuator_cmd[1],actuator_cmd[2],actuator_cmd[3],actuator_cmd[4],actuator_cmd[5],actuator_cmd[6],actuator_cmd[7],actuator_cmd[8],actuator_cmd[9],actuator_cmd[10],actuator_cmd[11],actuator_cmd[12],actuator_cmd[13],actuator_cmd[14],actuator_cmd[15],delta_ts
22800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
22900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
23900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
24900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
25000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
25100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
